Category,Exercise Name,Description,Targeted Muscles,Equipment Needed,Difficulty,Repetitions
leg_exercises,barbell_back_squat,Weighted squat for strength.,"quads, glutes",barbell,hard,8-10 per set
leg_exercises,bulgarian_split_squat,Advanced single-leg squat.,"quads, glutes",bench and dumbbells,hard,10-12 per leg per set
glute_exercises,glute_bridge,Basic glute activation exercise.,glutes,none,easy,10-12 per set
glute_exercises,donkey_kick,Targets glutes with leg lifts.,glutes,none,easy,10-12 per leg per set
glute_exercises,hip_thrust,Weighted glute exercise.,glutes,barbell or dumbbell,medium,10-12 per set
glute_exercises,sumo_squat,Squat variation for glutes.,"glutes, quads",dumbbell or kettlebell,medium,10-12 per set
glute_exercises,single_leg_hip_thrust,Advanced single-leg glute exercise.,glutes,bench,hard,10-12 per leg per set
glute_exercises,cable_kickback,Targets glutes with resistance.,glutes,cable machine,hard,10-12 per leg per set
hamstring_exercises,good_morning,Stretch and strengthen hamstrings.,"hamstrings, lower back",none,easy,10-12 per set
hamstring_exercises,hamstring_curl_ball,Hamstring curls using stability ball.,hamstrings,stability ball,easy,10-12 per set
hamstring_exercises,romanian_deadlift,Strengthens hamstrings with weight.,hamstrings,barbell or dumbbells,medium,8-10 per set
hamstring_exercises,single_leg_deadlift,Targets hamstrings with balance challenge.,hamstrings,dumbbell,medium,10-12 per leg per set
hamstring_exercises,nordic_hamstring_curl,Advanced hamstring strength exercise.,hamstrings,bench or partner,hard,8-10 per set
hamstring_exercises,barbell_hip_hinge,Focuses on posterior chain strength.,"hamstrings, glutes",barbell,hard,8-10 per set
core_exercises,plank,Core stability exercise.,core,none,easy,Hold for 30 seconds per set
core_exercises,dead_bug,Core stabilization movement.,core,none,easy,10-12 per side per set
core_exercises,russian_twist,Rotational exercise for core.,"core, obliques",medicine ball,medium,15-20 per side per set
core_exercises,mountain_climbers,Dynamic core exercise.,"core, legs",none,medium,30-40 per leg per set
core_exercises,hanging_leg_raises,Targets lower abs with hanging motion.,core,pull-up bar,hard,8-10 per set
core_exercises,ab_wheel_rollout,Core strength and stability exercise.,core,ab wheel,hard,8-10 per set
endurance_moves,jumping_jacks,Full-body cardio move.,full body,none,easy,30-40 seconds per set
endurance_moves,march_in_place,Low-impact cardio.,legs,none,easy,40-60 seconds per set
endurance_moves,high_knees,Dynamic cardio move.,"legs, core",none,medium,30-40 per leg
endurance_moves,mountain_climbers,Core-focused cardio.,"core, legs",none,medium,30-40 per leg
endurance_moves,burpees,High-intensity full-body move.,full body,none,hard,10-12 per set
endurance_moves,squat_jumps,Explosive lower body move.,legs,none,hard,15-20 per set
cardio_exercises,walking,Low-impact cardio.,legs,none,easy,5 minutes continuous
cardio_exercises,step_touch,Low-impact side-to-side move.,legs,none,easy,5 minutes continuous
cardio_exercises,jogging,Steady-state cardio.,legs,none,medium,5 minutes continuous
cardio_exercises,cycling,Stationary or road cycling.,legs,bike,medium,5 minutes continuous
cardio_exercises,sprint_intervals,High-intensity running intervals.,legs,none,hard,"5 minutes (alternate 30s sprint, 30s rest)"
cardio_exercises,jump_rope,High-intensity cardio move.,full body,jump rope,hard,"30 seconds on, 30 seconds rest"
stretches,child_pose,Stretches back and hips.,"lower back, hips",none,easy,Hold 30-60 seconds per set
stretches,seated_forward_bend,Stretches hamstrings.,hamstrings,none,easy,Hold 30-60 seconds per set
stretches,cobra_stretch,Stretches core and back.,core,none,medium,Hold 30-60 seconds per set
stretches,pigeon_pose,Opens up hips and stretches glutes.,"hips, glutes",none,medium,Hold 30 seconds per leg
stretches,split_stretch,Improves flexibility in legs.,"hamstrings, quads",none,hard,Hold 30-60 seconds per leg
stretches,bridge_pose,Stretches the back and hips.,"back, hips",none,hard,Hold 30-60 seconds per set
